"","age","Year","LL","ML","LM"
"174","10",1993,1114.41931126728,1124.25882432157,1232.78566507452
"175","11",1993,1326.3135835791,1337.56981236901,1371.33516747247
"176","12",1993,1408.51376936704,1414.15129457935,1455.65498806828
"177","13",1993,1566.05261864107,1569.24282344981,1626.32031479236
"178","14",1993,1661.90469685581,1634.59444837997,1689.79922350835
"179","15",1993,1746.32076807072,1748.8148019044,1835.52029894707
"180","1",1994,18.8463775705302,16.0610645920179,21.4474018724459
"181","2",1994,81.9759890297818,78.6051376331215,95.5033688936381
"182","3",1994,219.529767029149,193.406536838048,243.621193350363
"183","4",1994,386.183526906816,341.481534761021,444.709427135619
"184","5",1994,558.437329262201,541.772311560994,580.400964445804
"185","6",1994,676.75310434594,662.740113788071,716.337088971568
"186","7",1994,727.419408219386,723.777675536814,852.904748759118
"187","8",1994,1059.18575590107,1063.43680300859,1000.69550681856
"188","9",1994,1239.29279585521,1230.47082386211,1153.12989947105
"189","10",1994,1197.6367921799,1205.86448056535,1260.15103069312
"190","11",1994,1334.10409327186,1314.76128133911,1403.22615268059
"191","12",1994,1414.33927876314,1389.83342113038,1483.01386453316
"192","13",1994,1542.21057676729,1512.74612719301,1660.15806771292
"193","14",1994,1671.79798163873,1638.90104061951,1698.69911795207
"194","15",1994,1729.0098580031,1697.04462367051,1867.88367724062
"195","1",1995,16.1715016150832,13.791725397469,21.9688254951016
"196","2",1995,57.6830342739107,58.9296508373889,85.0162380643508
"197","3",1995,150.856533956585,148.155259064408,226.729991382894
"198","4",1995,347.597932023135,342.293250381573,411.787366249681
"199","5",1995,488.956233091068,495.043470385919,547.785587556905
"200","6",1995,655.912562956566,654.837346271413,706.042413821371
"201","7",1995,693.889633206299,728.585922864286,840.561568548677
"202","8",1995,917.469889917637,929.771382682656,1007.68475678554
"203","9",1995,1083.58576624345,1120.32369141202,1140.85958596134
"204","10",1995,1304.52072573344,1341.063255261,1238.68915615593
"205","11",1995,1324.75025487197,1318.36387904212,1395.83302041935
"206","12",1995,1388.10679189524,1371.08097981581,1492.55342089709
"207","13",1995,1505.27713691755,1507.32692036868,1624.83078272962
"208","14",1995,1473.24580201084,1472.46985410805,1678.15333682437
"209","15",1995,1714.59164246585,1716.55630745345,1836.9876209933
"210","1",1996,20.8567904876729,19.5036359424509,19.946101333446
"211","2",1996,76.5017090645211,77.5291887234723,82.0651240150568
"212","3",1996,146.201517031581,143.560164099112,216.484901126542
"213","4",1996,308.511895482613,309.00049751915,398.438034449661
"214","5",1996,495.940148088779,512.393423036966,547.104767096363
"215","6",1996,633.161933923739,641.840673761978,696.582783633852
"216","7",1996,803.242786728528,805.709180333503,840.453308071244
"217","8",1996,910.581403353538,932.923755324941,993.66113365368
"218","9",1996,1051.42289424868,1066.02555519149,1134.11903289578
"219","10",1996,1177.53865552943,1158.52263437072,1272.03337548626
"220","11",1996,1390.39135009105,1324.71887474775,1453.97127280624
"221","12",1996,1498.04426063018,1436.76096095079,1530.68737874663
"222","13",1996,1680.41411313244,1621.82449994858,1666.02435832618
"223","14",1996,1664.69245393658,1620.48409277695,1723.34309317438
"224","15",1996,1749.59587249085,1747.27501847516,1856.15753629675
"225","1",1997,17.4624667954372,15.1903671575343,21.3709659524279
"226","2",1997,78.8320641879994,77.4475460735553,85.0347240595353
"227","3",1997,212.612390502602,193.568233858496,202.92484081671
"228","4",1997,308.975029223372,329.670245721418,382.644830752898
"229","5",1997,391.147413906745,402.539734528606,532.04387798283
"230","6",1997,623.224967426124,659.669286016641,700.618990324509
"231","7",1997,745.275434859646,803.821837670933,816.985480421991
"232","8",1997,889.388978183125,946.915554829061,975.587026299024
"233","9",1997,1115.29013136787,1131.3599555808,1129.32865582711
"234","10",1997,1194.12613378911,1179.42949591805,1272.06797048218
"235","11",1997,1353.56765778365,1306.36568595721,1431.95276353738
"236","12",1997,1510.50302735085,1456.21897608307,1515.20360125002
"237","13",1997,1577.05209885012,1577.4381173262,1626.73997970365
"238","14",1997,1626.32352405886,1589.0105586463,1713.05613662462
"239","15",1997,1724.63007545513,1709.14057993121,1853.65835516895
"240","1",1998,18.1554126095302,17.506075514652,18.9619314661321
"241","2",1998,69.6200619435251,69.8046704750232,83.6840167712526
"242","3",1998,194.457574709921,196.640934741636,205.803779423041
"243","4",1998,321.27403974307,334.969766856715,385.001031346082
"244","5",1998,466.398216679431,485.196181186926,530.913796084761
"245","6",1998,525.737036343327,559.361241012682,679.528723107827
"246","7",1998,803.241429294339,801.904509208735,847.379340535448
"247","8",1998,893.799171079514,882.125787088402,1027.09310439714
"248","9",1998,1008.85991802434,993.661106887423,1197.12809217495
"249","10",1998,1071.57813092211,993.770259840272,1332.69366356002
"250","11",1998,1268.74940574368,1179.02354476516,1485.87026168673
"251","12",1998,1356.9570597737,1201.71284848962,1650.64383952035
"252","13",1998,1479.58617634283,1379.90097120397,1744.19306415362
"253","14",1998,1866.3849169938,1725.94077491516,1817.7663199697
"254","15",1998,1824.30626314242,1722.79179354882,1966.09166368989
"255","1",1999,15.1785651053124,13.6648067553908,19.8111289034896
"256","2",1999,77.9970621234012,74.4362331020744,83.6914420167943
"257","3",1999,217.243586790758,200.704323029858,223.324581204378
"258","4",1999,347.65480724196,352.573463260437,402.401490579391
"259","5",1999,408.83076855193,422.57204734818,529.808649412001
"260","6",1999,561.093950192174,575.408092694898,674.305912878317
"261","7",1999,698.949926924436,732.110329613387,816.809410340423
"262","8",1999,896.499678142907,935.898359545663,964.862794786534
"263","9",1999,1079.26955191092,1131.34699036743,1103.54530024018
"264","10",1999,1154.6415031744,1200.17500702313,1221.57674786738
"265","11",1999,1298.70957246463,1331.51145784262,1359.55294589825
"266","12",1999,1324.20800509032,1326.53504738768,1465.12309451291
"267","13",1999,1734.06681673937,1731.08758074101,1641.71922461801
"268","14",1999,1729.66869464027,1689.01707104243,1722.48613938567
"269","15",1999,1934.39487044635,1924.93333242154,1846.59719258756
"270","1",2000,13.8270776021035,15.7233478238818,16.2271647453192
"271","2",2000,78.8647057753228,76.4077432138533,85.5345867492633
"272","3",2000,245.129519172293,230.870810789119,229.326031124566
"273","4",2000,401.286800039679,397.615519441488,410.339396517303
"274","5",2000,484.397816802649,490.103240653294,545.202696982904
"275","6",2000,572.394653844147,576.180735761135,680.832448448147
"276","7",2000,702.530395524433,716.262327272215,836.106945840644
"277","8",2000,785.10502276612,809.873090643007,990.436613913367
"278","9",2000,941.652488745077,991.463929477291,1118.45680647655
"279","10",2000,1159.50799562798,1196.26164744398,1256.01811945141
"280","11",2000,1370.01230888938,1357.46282031385,1429.55140750278
"281","12",2000,1487.07147360001,1448.39613138745,1513.95019490572
"282","13",2000,1748.58928741391,1700.54905123832,1675.04913647832
"283","14",2000,1731.21645954226,1676.47778798148,1735.50207685659
"284","15",2000,1922.14419443973,1893.95583728643,1871.70261298122
"285","1",2001,17.0811251434068,16.4027192618407,19.1560107557407
"286","2",2001,77.5222439076681,72.6488644567818,94.603186466762
"287","3",2001,185.104895220276,179.788159201782,227.588120582627
"288","4",2001,368.578139639671,366.508067134306,408.080348335634
"289","5",2001,536.032364306477,547.779545395689,542.068276051531
"290","6",2001,670.235216752625,670.827827137461,687.414085102978
"291","7",2001,798.722503471284,796.691993406489,842.55630094256
"292","8",2001,883.20701548486,868.377982960345,1000.32608951049
"293","9",2001,992.472249410927,1021.00502760898,1121.76897335643
