"","type","age","year","data","SE"
"563","model",8,2000,785.105022766125,33.5234906976541
"564","model",9,2000,941.652488745098,40.8650692008487
"565","model",10,2000,1159.50799562798,50.5198524752286
"566","model",11,2000,1370.01230888938,66.3402217864472
"567","model",12,2000,1487.07147360005,76.4056781403129
"568","model",13,2000,1748.5892874139,128.365367331386
"569","model",14,2000,1731.21645954228,138.611852811963
"570","model",15,2000,1922.14419443973,88.5466825350636
"586","model",1,2001,17.0811251434067,1.31058686227618
"587","model",2,2001,77.5222439076682,4.65998279137333
"588","model",3,2001,185.104895220279,15.1220754893259
"589","model",4,2001,368.578139639667,22.1086120993934
"590","model",5,2001,536.032364306479,22.0281142479681
"591","model",6,2001,670.235216752621,26.341511485377
"592","model",7,2001,798.722503471296,32.8709564681642
"593","model",8,2001,883.207015484852,40.8129127379655
"594","model",9,2001,992.472249410929,35.4855774859225
"595","model",10,2001,1117.39454481431,37.7217108273496
"596","model",11,2001,1333.79481101137,52.017799030104
"597","model",12,2001,1487.53392202651,62.0820372381058
"598","model",13,2001,1571.78628503541,77.5471372622621
"599","model",14,2001,1756.24721330312,133.599452357315
"600","model",15,2001,1807.03908035188,86.5478109840163
"616","model",1,2002,16.8714324989893,1.65922259501604
"617","model",2,2002,93.2645972158137,6.41170253035092
"618","model",3,2002,247.986080177229,14.7105045726361
"619","model",4,2002,392.031538197307,15.5678245694023
"620","model",5,2002,519.17605304778,19.9568481042405
"621","model",6,2002,678.331127105105,26.0507155911538
"622","model",7,2002,765.054239353405,32.5476365416838
"623","model",8,2002,943.16259789468,42.5553734493326
"624","model",9,2002,1026.97461335546,41.8055962394656
"625","model",10,2002,1115.12241342664,34.8801065671259
"626","model",11,2002,1119.26478274246,46.0439246329149
"627","model",12,2002,1382.68302747354,59.7409755067752
"628","model",13,2002,1560.09364983314,71.2785449733734
"629","model",14,2002,1714.64739171797,107.113817391504
"630","model",15,2002,1855.33246823674,96.4573063344524
"646","model",1,2003,26.4946278525222,1.75962306791284
"647","model",2,2003,113.387735022181,6.79065213792663
"648","model",3,2003,285.144507886998,21.6630839820668
"649","model",4,2003,463.409312798023,23.3794831174332
"650","model",5,2003,618.609077491034,27.5578469473305
"651","model",6,2003,732.706953487555,32.3918696893182
"652","model",7,2003,814.164958973608,32.3668112231223
"653","model",8,2003,968.127307895846,38.0628321484824
"654","model",9,2003,1043.21222487723,55.0891189934093
"655","model",10,2003,1198.809817674,58.3462112332292
"656","model",11,2003,1243.87208423802,46.0843898146983
"657","model",12,2003,1354.86059037462,59.5786470867108
"658","model",13,2003,1539.36602453825,84.3149977956373
"659","model",14,2003,1517.78851239036,116.123628971079
"660","model",15,2003,1633.09925634752,118.53134748986
"676","model",1,2004,22.721190245437,2.0127762367107
"677","model",2,2004,107.495582620705,8.03062748909586
"678","model",3,2004,289.50257680709,25.6867234686544
"679","model",4,2004,428.674069125513,16.443818024108
"680","model",5,2004,568.902742684549,27.211490146742
"681","model",6,2004,689.055525474373,28.2657539672334
"682","model",7,2004,819.708546370331,39.8082025893783
"683","model",8,2004,927.673978083967,35.7046552428744
"684","model",9,2004,1039.18615836059,42.2483721645849
"685","model",10,2004,1143.86036135934,51.889965462641
"686","model",11,2004,1203.43085988827,51.5378593482044
