"","Year","age","awwaa","awwaa_kg"
"146","2013",4,506.20447514896,0.50620447514896
"147","2014",4,458.085346775403,0.458085346775403
"148","2015",4,447.131170728189,0.447131170728189
"149","2016",4,530.769130605793,0.530769130605793
"150","2017",4,474.500278540222,0.474500278540222
"151","2018",4,432.670378235255,0.432670378235255
"152","2019",4,498.949239490781,0.498949239490781
"153","1982",5,561.869533093688,0.561869533093688
"154","1983",5,491.101128127786,0.491101128127786
"155","1984",5,465.52400097483,0.46552400097483
"156","1985",5,484.95890975188,0.48495890975188
"157","1986",5,442.213296470955,0.442213296470955
"158","1987",5,420.699232826635,0.420699232826635
"159","1988",5,444.04303650855,0.44404303650855
"160","1989",5,386.546978791525,0.386546978791525
"161","1990",5,447.685867828773,0.447685867828773
"162","1991",5,561.498451158243,0.561498451158243
"163","1992",5,509.388129496813,0.509388129496813
"164","1993",5,519.282434985711,0.519282434985711
"165","1994",5,558.437329262201,0.558437329262201
"166","1995",5,488.956233091068,0.488956233091068
"167","1996",5,495.940148088779,0.495940148088779
"168","1997",5,391.147413906745,0.391147413906745
"169","1998",5,466.398216679431,0.466398216679431
"170","1999",5,408.83076855193,0.40883076855193
"171","2000",5,484.397816802649,0.484397816802649
"172","2001",5,536.032364306477,0.536032364306477
"173","2002",5,519.176053047781,0.519176053047781
"174","2003",5,618.60907749104,0.61860907749104
"175","2004",5,568.902742684555,0.568902742684555
"176","2005",5,514.49681022661,0.51449681022661
"177","2006",5,599.906483832864,0.599906483832864
"178","2007",5,630.56400613835,0.63056400613835
"179","2008",5,592.647046674112,0.592647046674112
"180","2009",5,676.725307525132,0.676725307525132
"181","2010",5,675.030234868582,0.675030234868582
"182","2011",5,661.796219527409,0.661796219527409
"183","2012",5,606.922923762389,0.606922923762389
"184","2013",5,586.058999788014,0.586058999788014
"185","2014",5,572.699081371029,0.572699081371029
"186","2015",5,590.537326277061,0.590537326277061
"187","2016",5,600.4490158179,0.6004490158179
"188","2017",5,624.495756419936,0.624495756419936
"189","2018",5,592.92382283137,0.59292382283137
"190","2019",5,633.578810679606,0.633578810679606
"191","1982",6,867.026113183257,0.867026113183257
"192","1983",6,689.201528035688,0.689201528035688
"193","1984",6,602.39017524753,0.60239017524753
"194","1985",6,758.217951782254,0.758217951782254
"195","1986",6,654.806894663803,0.654806894663803
"196","1987",6,553.492762969519,0.553492762969519
"197","1988",6,527.148789938771,0.527148789938771
"198","1989",6,519.100929850683,0.519100929850683
"199","1990",6,537.022905774621,0.537022905774621
"200","1991",6,639.819033284645,0.639819033284645
"201","1992",6,575.52554711878,0.57552554711878
"202","1993",6,640.022400963607,0.640022400963607
"203","1994",6,676.75310434594,0.67675310434594
"204","1995",6,655.912562956566,0.655912562956566
"205","1996",6,633.161933923739,0.633161933923739
"206","1997",6,623.224967426124,0.623224967426124
"207","1998",6,525.737036343327,0.525737036343327
"208","1999",6,561.093950192174,0.561093950192174
"209","2000",6,572.394653844147,0.572394653844147
"210","2001",6,670.235216752625,0.670235216752625
"211","2002",6,678.331127105106,0.678331127105106
"212","2003",6,732.706953487553,0.732706953487553
"213","2004",6,689.05552547437,0.68905552547437
"214","2005",6,630.027698866608,0.630027698866608
"215","2006",6,698.364136902922,0.698364136902922
"216","2007",6,796.626630778325,0.796626630778325
"217","2008",6,724.397814681217,0.724397814681217
"218","2009",6,787.197820060597,0.787197820060597
"219","2010",6,874.108896507917,0.874108896507917
"220","2011",6,773.175945156157,0.773175945156157
"221","2012",6,785.056625865167,0.785056625865167
"222","2013",6,750.187571875508,0.750187571875508
"223","2014",6,716.7062919184,0.7167062919184
"224","2015",6,685.96059411725,0.68596059411725
"225","2016",6,695.805155836013,0.695805155836013
"226","2017",6,673.006980690541,0.673006980690541
"227","2018",6,686.82975188759,0.68682975188759
"228","2019",6,731.975236173941,0.731975236173941
"229","1982",7,1144.42578230556,1.14442578230556
"230","1983",7,982.516321383685,0.982516321383685
"231","1984",7,948.868035060442,0.948868035060442
"232","1985",7,945.079168940634,0.945079168940634
"233","1986",7,826.940767939764,0.826940767939764
"234","1987",7,701.173951488675,0.701173951488675
"235","1988",7,661.641689722844,0.661641689722845
"236","1989",7,712.50757016467,0.71250757016467
"237","1990",7,633.008836970231,0.633008836970231
"238","1991",7,715.786443541816,0.715786443541816
"239","1992",7,773.926681738924,0.773926681738924
"240","1993",7,751.781777515,0.751781777515
"241","1994",7,727.419408219386,0.727419408219386
"242","1995",7,693.889633206299,0.693889633206299
"243","1996",7,803.242786728528,0.803242786728528
"244","1997",7,745.275434859646,0.745275434859646
"245","1998",7,803.241429294339,0.803241429294339
"246","1999",7,698.949926924436,0.698949926924436
"247","2000",7,702.530395524433,0.702530395524433
"248","2001",7,798.722503471284,0.798722503471284
"249","2002",7,765.054239353412,0.765054239353412
"250","2003",7,814.164958973619,0.814164958973619
"251","2004",7,819.708546370327,0.819708546370327
"252","2005",7,808.817320892389,0.808817320892389
"253","2006",7,815.62287483135,0.815622874831351
"254","2007",7,901.470273604114,0.901470273604114
"255","2008",7,848.06819900843,0.84806819900843
"256","2009",7,1001.55053276709,1.00155053276709
"257","2010",7,1089.81147666093,1.08981147666093
"258","2011",7,936.163660064285,0.936163660064285
"259","2012",7,933.539432381377,0.933539432381377
"260","2013",7,992.841031234733,0.992841031234733
"261","2014",7,789.96818214083,0.78996818214083
"262","2015",7,783.971642251694,0.783971642251694
"263","2016",7,775.930784060463,0.775930784060463
"264","2017",7,755.92016422652,0.75592016422652
"265","2018",7,781.042544707436,0.781042544707436
"266","2019",7,821.172143643947,0.821172143643947
"267","1982",8,1314.01264967893,1.31401264967893
"268","1983",8,1272.23228388666,1.27223228388666
"269","1984",8,1341.0123363234,1.3410123363234
"270","1985",8,1226.47376672902,1.22647376672902
"271","1986",8,1017.91416648075,1.01791416648075
"272","1987",8,854.845321714332,0.854845321714332
"273","1988",8,885.356774160845,0.885356774160845
"274","1989",8,812.567333449111,0.812567333449111
"275","1990",8,739.743138298707,0.739743138298707
"276","1991",8,814.360689225168,0.814360689225168
"277","1992",8,919.978877358689,0.919978877358689
